event_id,ts,college_id,student_id,event_type,company,ctc_lpa,branch
COL-KN05-OFF-000204,2026-05-06 17:42:31,COL-KN05,COL-KN05-S0005,offer_extended,Paperlane HR Tech,12.8,IT
COL-KN05-APP-000080,2026-05-06 19:37:46,COL-KN05,COL-KN05-S0018,application_submitted,,,Mech
COL-KN05-APP-000084,2026-05-06 23:47:56,COL-KN05,COL-KN05-S0096,application_submitted,,,Civil
COL-KN05-APP-000006,2026-05-07 01:22:53,COL-KN05,COL-KN05-S0058,application_submitted,,,Mech
COL-KN05-APP-000036,2026-05-07 04:57:25,COL-KN05,COL-KN05-S0148,application_submitted,,,CSE
COL-KN05-PLA-000222,2026-05-07 17:42:31,COL-KN05,COL-KN05-S0005,placement_confirmed,Paperlane HR Tech,12.8,Mech
COL-KN05-INT-000113,2026-05-07 22:04:42,COL-KN05,COL-KN05-S0121,interview_scheduled,Tarna Systems,,CSE
COL-KN05-APP-000027,2026-05-08 00:31:00,COL-KN05,COL-KN05-S0149,application_submitted,,,IT
COL-KN05-APP-000064,2026-05-08 14:32:03,COL-KN05,COL-KN05-S0010,application_submitted,,,CSE
COL-KN05-INT-000117,2026-05-09 18:19:01,COL-KN05,COL-KN05-S0027,interview_scheduled,Ferrolytics,,Civil
COL-KN05-APP-000002,2026-05-09 20:27:54,COL-KN05,COL-KN05-S0128,application_submitted,,,Civil
COL-KN05-APP-000048,2026-05-10 01:54:08,COL-KN05,COL-KN05-S0032,application_submitted,,,CSE
COL-KN05-APP-000045,2026-05-10 03:35:14,COL-KN05,COL-KN05-S0034,application_submitted,,,CSE
COL-KN05-INT-000136,2026-05-10 06:03:02,COL-KN05,COL-KN05-S0088,interview_scheduled,Ferrolytics,,CSE
COL-KN05-APP-000039,2026-05-10 06:39:17,COL-KN05,COL-KN05-S0049,application_submitted,,,CSE
COL-KN05-APP-000057,2026-05-10 13:25:37,COL-KN05,COL-KN05-S0106,application_submitted,,,Civil
COL-DL01-INT-000335,2026-05-10 18:41:05,COL-DL01,COL-DL01-S0149,interview_scheduled,Tarna Systems,,Mech
COL-PN02-INT-000444,2026-05-10 18:50:52,COL-PN02,COL-PN02-S0241,interview_completed,Argento Fintech,,Civil
COL-PN02-APP-000225,2026-05-10 19:18:24,COL-PN02,COL-PN02-S0083,application_submitted,,,CSE
COL-DL01-INT-000377,2026-05-10 19:24:32,COL-DL01,COL-DL01-S0081,interview_scheduled,Tarna Systems,,ECE
COL-DL01-INT-000316,2026-05-10 19:38:47,COL-DL01,COL-DL01-S0102,interview_scheduled,Paperlane HR Tech,,CSE
COL-JP03-INT-000214,2026-05-10 20:09:09,COL-JP03,COL-JP03-S0020,interview_scheduled,Quillhouse Media,,Civil
COL-DL01-APP-000212,2026-05-10 20:11:31,COL-DL01,COL-DL01-S0143,application_submitted,,,Mech
COL-KN05-INT-000180,2026-05-10 21:47:39,COL-KN05,COL-KN05-S0096,interview_completed,Paperlane HR Tech,,CSE
COL-JP03-APP-000134,2026-05-10 22:02:26,COL-JP03,COL-JP03-S0239,application_submitted,,,Mech
COL-DL01-INT-000511,2026-05-10 22:09:22,COL-DL01,COL-DL01-S0186,interview_completed,Argento Fintech,,Civil
COL-DL01-APP-000247,2026-05-10 23:17:24,COL-DL01,COL-DL01-S0051,application_submitted,,,Mech
COL-PN02-INT-000315,2026-05-10 23:45:35,COL-PN02,COL-PN02-S0035,interview_scheduled,Tarna Systems,,Mech
COL-DL01-APP-000165,2026-05-10 23:56:24,COL-DL01,COL-DL01-S0357,application_submitted,,,ECE
COL-DL01-INT-000439,2026-05-11 00:05:48,COL-DL01,COL-DL01-S0166,interview_scheduled,Argento Fintech,,CSE
COL-PN02-INT-000272,2026-05-11 00:09:55,COL-PN02,COL-PN02-S0325,interview_scheduled,Quillhouse Media,,Mech
COL-DL01-APP-000229,2026-05-11 00:15:31,COL-DL01,COL-DL01-S0223,application_submitted,,,Mech
COL-DL01-APP-000053,2026-05-11 01:10:02,COL-DL01,COL-DL01-S0067,application_submitted,,,IT
COL-DL01-INT-000445,2026-05-11 01:13:28,COL-DL01,COL-DL01-S0252,interview_scheduled,Sundeck Logistics,,Civil
COL-BH04-APP-000096,2026-05-11 01:43:19,COL-BH04,COL-BH04-S0069,application_submitted,,,Mech
COL-JP03-INT-000175,2026-05-11 01:58:13,COL-JP03,COL-JP03-S0076,interview_scheduled,Northgate Retail,,CSE
COL-DL01-APP-000139,2026-05-11 03:39:18,COL-DL01,COL-DL01-S0149,application_submitted,,,CSE
COL-JP03-APP-000117,2026-05-11 03:41:58,COL-JP03,COL-JP03-S0228,application_submitted,,,CSE
COL-PN02-APP-000246,2026-05-11 03:52:39,COL-PN02,COL-PN02-S0238,application_submitted,,,CSE
